artista,cancion,album,año,spotify_id,popularidad
Viva Suecia,Días Amables,El Milagro,2019,3ta3AQq6Za2Ku7WlW35H7Z,48
Leiva,Superpoderes,Nuclear,2019,3by1RwAsoZ6nNoMOCy11LM,48
The Neighbourhood,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,2018,7zwn1eykZtZ5LODrf7c0tS,81
Miguel Campello,La Quiero a Morir,Con Todos Mis Respetos,2021,78sSlHHLTGwIZKEOr0YG6l,48
Imagine Dragons,Bones,Bones,2022,0HqZX76SFLDz2aW8aiqi7G,74
MARLENA,Me Sabe Mal,Me Sabe Mal,2021,53w7xjn8fwwU8Pc6rgMm5v,48
Maná,Rayando el Sol (feat. Pablo Alborán),Rayando El Sol (feat. Pablo Alborán),2019,3uKdu7AtigAJ8GgTu0yJTe,62
Oques Grasses,De Bonesh,A Tope amb la Vida,2021,5ObiVsgtKaynGBIVwjzhGb,47
Vanesa Martín,Inventas,Todas las mujeres que habitan en mí,2018,48eeeHvDzNvtJiQh5XDs2N,49
Depeche Mode,Enjoy the Silence,"Violator | The 12"" Singles",2022,0yp3TvJNlG50Q4tAHWNCRm,74
La Oreja de Van Gogh,Durante una Mirada,Un Susurro en la Tormenta,2020,4tqBQD2QG0IYLU08rpkU6X,53
Queen,Bohemian Rhapsody,Bohemian Rhapsody (The Original Soundtrack),2018,3z8h0TU7ReDPLIbEnYhWZb,71
Måneskin,ZITTI E BUONI,Teatro d'ira - Vol. I,2021,776AftMmFFAWUIEAb3lHhw,70
OneRepublic,Run,Human (Deluxe),2021,6KL88T4Ma4ABXqzgUoEwkd,73
Sting,What Could Have Been (from the series Arcane League of Legends),Arcane League of Legends (Soundtrack from the Animated Series),2021,6YB9jhzVEzw8CKeXD7Vx8j,71
Måneskin,CORALINE,Teatro d'ira - Vol. I,2021,7HMz8o0m7ASQ3ImFPfhWTY,67
Imagine Dragons,Follow You,Mercury - Acts 1 & 2,2022,0LtkAAEpEp1lkLX1ZvjHZb,68
Imagine Dragons,Enemy - From the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),2021,5UlnuulVAVmmesw4VzqHdG,70
MGMT,Little Dark Age,Little Dark Age,2018,2Y0iGXY6m6immVb2ktbseM,75
Rammstein,Deutschland,Rammstein,2019,2bPGTMB5sFfFYQ2YvSmup0,73
House Of Pain,Jump Around - 30 Years Remaster,House of Pain (Fine Malt Lyrics) [30 Years] [Deluxe Edition],2022,7L93GESzq43UkKUt5FsOCq,74
Elton John,Hold Me Closer,Hold Me Closer,2022,72yP0DUlWPyH8P7IoxskwN,70
Robbie Williams,Merry Xmas Everybody (feat. Jamie Cullum),The Christmas Present (Deluxe),2019,5mQvFCSzGQijKJMYhQ5ig0,64
Imagine Dragons,Birds,Origins (Deluxe),2018,6Tvzf3VEi16JMhAgOwdt2y,68
Måneskin,L'altra dimensione,Il ballo della vita,2018,36ONZ2CvV8KsLPapNPGTqa,65
Bring Me The Horizon,Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,2020,7CAbF0By0Fpnbiu6Xn5ZF7,73
Imagine Dragons,Wrecked,Mercury - Acts 1 & 2,2022,6TEftSkmWdTm1EpThnwqh6,68
Eve,Kaikai Kitan,Kaikai Kitan / Ao No Waltz,2020,6y4GYuZszeXNOXuBFsJlos,71
The 1975,About You,Being Funny In A Foreign Language,2022,1fDFHXcykq4iw8Gg7s5hG9,82
Bishop Briggs,River,Church Of Scars,2018,3mRLHiSHYtC8Hk7bzZdUs1,73
Bee Gees,Stayin Alive,How Can You Mend A Broken Heart,2020,5ubvP9oKmxLUVq506fgLhk,70
Everybody Loves an Outlaw,I See Red,I See Red,2018,5MAK1nd8R6PWnle1Q1WJvh,72
Mother Mother,Hayloft II,Inside (Deluxe),2022,0kYMwaQWABTkFff8AZjmYI,73
Kool & The Gang,Cherish - Single Version,Collected,2018,2yCAGizViD7HZXwNYxJToQ,65
Freddie Mercury,Living On My Own - No More Brothers Radio Mix,Never Boring,2019,2VCB1IOc2oLUkat0YCkTZ6,63
Dayglow,Can I Call You Tonight?,Fuzzybrain,2019,61OJxhoY3Ix50rYVKo8zRK,73
Phil Collins,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Disney Summer Songs,2021,1fTDYdx5zYfWJSX0JlKO8o,67
Ozzy Osbourne,Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,7ACxUo21jtTHzy7ZEV56vU,74
El Kanka,Por Tu Olor,El Arte de Saltar,2018,69gBnFLDtc2lub6xL0sfi9,53
Juanes,Bonita,Más Futuro Que Pasado,2019,3ewwb5s3WHYqEdkBnwKlTS,58
