artista,cancion,album,año,spotify_id,popularidad
Bad Omens,Take Me First,THE DEATH OF PEACE OF MIND,2022,6ERSCeGFBSwvHCvBjwrmwE,60
Three Days Grace,So Called Life,EXPLOSIONS,2022,1QTQ3VNzabl4yF5GJE6hhK,61
DOWN,Stone the Crow,Stone the Crow,2020,0n3iMDinxSVg3WbOBajMaH,48
Parkway Drive,The Void,Reverence,2018,5znIVOv7RucpCHGkbonySq,54
Brothers of Metal,Kaunaz Dagaz,Emblas Saga,2020,313f3J4lGMA0irUrWaUXUh,54
Godsmack,Bulletproof,When Legends Rise,2018,4Pp7tPCBM9ywQexWvCz6iH,56
Avantasia,Moonglow,Moonglow,2019,1fKaObKEtnVZrnhcqqLKAx,49
Ghost,Griftwood,IMPERA,2022,74gUN3LUQhqzfTLAP09ejk,54
Kublai Khan TX,Self-Destruct,Absolute,2019,2eqjpko1AQuTdxkBFhAcRG,60
Motionless In White,Slaughterhouse (feat. Bryan Garris),Scoring The End Of The World,2022,2ClgEn1FZxchrqRZ04JZzj,59
Parkway Drive,Glitch,Darker Still,2022,1jKH10ufuA4EzUCdobVxu0,54
Falling In Reverse,The Drug In Me Is Reimagined,The Drug In Me Is Reimagined,2020,5GIWP2q6p92lFA10KUuL0z,56
Sleep Token,Atlantic,This Place Will Become Your Tomb,2021,0asMwoxaKllA4Cm791LGOW,63
Battle Beast,Eden,No More Hollywood Endings,2019,68sLf8iqi43JZVw3eOdzwy,52
I Prevail,There’s Fear In Letting Go,TRUE POWER,2022,2OYtcqflvzQwh3cMPmTHs4,61
Ghost,Mary On A Cross - slowed + reverb,Mary On A Cross (slowed + reverb),2022,6xWbpC8KpcItoGd8ZOKJlU,57
Bury Tomorrow,Choke,Cannibal,2020,2KGCOtaTbNIbwrxS0a2UMv,53
Scorpions,When You Know (Where You Come From),Rock Believer (Deluxe),2022,4cXLQrYdvNNRGg6fpCxWT2,49
Bad Omens,Never Know,Finding God Before God Finds Me (Deluxe),2020,2K1ENoIs1y6M5nFdJhLpvU,60
System Of A Down,Genocidal Humanoidz,Protect The Land / Genocidal Humanoidz,2020,3Sg3bOiD0kE4D5DcXk48Ds,57
LANDMVRKS,Lost in a Wave,Lost in the Waves,2021,6Hye4TXeYUXzU0tWofYdhC,56
Electric Callboy,Arrow of Love,TEKKNO,2022,6IkcTpdDbL4OVg7skLdUyF,54
Bad Wolves,Hear Me Now,Disobey,2018,5bINaNAghUCg4uHIsuDgjG,62
Bring Me The Horizon,in the dark,amo,2019,4swVflM7KtMxzfHBWqPv9S,57
The HU,Yuve Yuve Yu,The Gereg (Deluxe Edition),2020,3yBr5dRJAbjppfxZg3OUWZ,54
Ghost,Kaisarion,IMPERA,2022,452WW3sHSkt9AxuKS4cLX0,54
Spiritbox,Holy Roller,Eternal Blue,2021,1LLiDI21J4WWlmqk7zsm9v,59
coldrain,MAYDAY (feat. Ryo from Crystal Lake),THE SIDE EFFECTS,2019,2wJJNgD6GrKoQ435VxTRv6,54
Foo Fighters,Times Like These - Acoustic Version,00020225,2019,1pXgBjIvALm97lDhroan2E,55
Sabaton,82nd All the Way,The Great War,2019,4zvXVO0SrMYIMHVGdOm0DA,55
Follow The Cipher,Winterfall,Follow the Cipher,2018,6vg1NTpnF82sh1Owou79zS,53
The Warning,MONEY,ERROR,2022,3ttIVj1N3d6hV8t0UL2Mjo,53
Papa Roach,Swerve (feat. FEVER 333 & Sueco),Ego Trip,2022,68g8ct32bqJXl4po9cWeeD,53
NanowaR of Steel,Norwegian Reggaeton,Norwegian Reggaeton,2019,35xmSciP2D7fkPVQVjYdKe,43
Amon Amarth,Put Your Back Into The Oar,Put Your Back Into The Oar,2022,4fY2JR0REUiykvzRw61sk9,54
Sabaton,Lady of the Dark,The War to End All Wars,2022,55gQTPtDdhgXcrxeE95K7l,55
Iron Maiden,Stratego,Senjutsu,2021,7BOLGsgOMicS0GLmsX940c,48
Ghost,Witch Image,Prequelle,2018,0bog7rv4F6iffTSWcYQHeq,49
Godsmack,When Legends Rise,When Legends Rise,2018,4k7HTbpyFhYyaks0Kd2OoW,55
Falling In Reverse,Losing My Mind,Losing My Mind,2018,1qPlNM2FaEWCMSxpVR5XeH,53
Motionless In White,Werewolf,Scoring The End Of The World,2022,1e1rQNYCZToyBDDka1Io34,58
Gojira,Amazonia,Fortitude,2021,1GWtUkDQk7XC35r7kTPfqx,55
Five Finger Death Punch,Full Circle,F8,2020,76CWLFHm3OFuE2P1dDMhi3,58
Blind Channel,Dark Side,Lifestyles of the Sick & Dangerous,2022,2vICdcAEc10WfqMeRxOF1I,50
Red Hot Chili Peppers,Eddie,Return of the Dream Canteen,2022,0G1BEi8ByngMCJqcPnDACw,53
Volbeat,Wait A Minute My Girl,Servant Of The Mind (Deluxe),2021,6nDHNHOVNuWK48N24Fktcs,56
Nickelback,San Quentin,Get Rollin',2022,2fDy68BuFDTa7UGVicym4Z,64
Sabaton,The Unkillable Soldier,The War to End All Wars,2022,0gsCpWnPXzPqf0MoIh0Qbi,54
Slaughter to Prevail,Baba Yaga,Kostolom,2019,0RSkbK5eWAPY5W5l5Q08zf,57
Sum 41,Never There,Order In Decline,2019,3ujzd7pcdAhILCnS3oGbaU,50
Eluveitie,Ambiramus,Ategnatos,2019,4wxm46qMm1P7JH1ivm1BQ2,52
Battle Beast,Master of Illusion,Circus Of Doom,2022,5uezGrwjyarcPOH8uYGdXk,50
Sabaton,Defence of Moscow,Defence of Moscow,2021,27q9ZWmSFwCqq7B2unoHRG,54
zebrahead,All My Friends Are Nobodies,Brain Invaders (Deluxe Edition),2019,3xhvI8X8PGCKuKd49ZyFNJ,52
Pearl Jam,Black - Live MTV Unplugged,MTV Unplugged,2020,3xIaUb1WsnrqbJo6CsJMLO,56
Alpha Wolf,Akudama,A Quiet Place to Die,2020,3coeo9H305LiuDbXXn9ANe,55
Miracle Of Sound,Ode to Fury,Level 9,2018,4IkokkHNc6YpJXRLloS8bY,55
Bring Me The Horizon,"Dear Diary,",POST HUMAN: SURVIVAL HORROR,2020,3DW6GVr7RVyfvo4NBRvZIZ,56
Imminence,Temptation,Heaven in Hiding,2021,53QkoELbY2Vzzb4EMkFJOB,52
Black Veil Brides,Wake Up,Vale,2018,3WnrxWNTHDGyCVCwfMJPtR,56
Bring Me The Horizon,sugar honey ice & tea,amo,2019,3Ddgh4ZwVIkLx0f4WeDFmo,57
Bad Wolves,Remember When,Disobey,2018,2VAQAqrKu8n1eUWPlTzVox,62
Ice Nine Kills,The American Nightmare,The Silver Scream,2018,04K2bMi2vyOBwxr5EjDq5O,59
Light The Torch,The Safety of Disbelief,Revival,2018,49ylH81Y53wUOlTHqXK1J2,56
Slipknot,Yen,"The End, So Far",2022,5ih5d9WJSI7Hxz0KIPJPY2,57
Ozzy Osbourne,Hellraiser - 30th Anniversary Edition,Hellraiser (30th Anniversary Edition),2021,7iD5t0YgWvIIrvZtw6IIxQ,54
Papa Roach,Last Resort (Reloaded),Last Resort (Reloaded),2021,52KlXDEkCkgZxuMjSqzY4L,60
Zeal & Ardor,Götterdämmerung,Zeal & Ardor,2022,6pXKSo89ne9mbPInCWk8dw,50
Architects,Black Lungs,For Those That Wish To Exist,2021,06BRkkaJsqM9i6VZKDvUlK,53
Fit For A King,When Everything Means Nothing,Dark Skies,2018,7ezIUoHieQUZ2b3czrPp82,54
Ice Nine Kills,Hip To Be Scared [Feat. Jacoby Shaddix],Welcome To Horrorwood: The Silver Scream 2,2021,1tBghD5Z8rBeN7eHDXLamy,59
Sabaton,Great War,The Great War,2019,4fmr8c3rh0dUKjw14UGfaH,55
Slaughter to Prevail,Bratva,Kostolom,2019,6yerffT19n4aHyY25Rnkfq,55
While She Sleeps,SLEEPS SOCIETY,SLEEPS SOCIETY,2021,3ZFP6XrE0FHu4duyi7vRoL,52
Currents,Better Days,The Way It Ends,2020,1BqzzWlA868p8J5VIbp50A,58
Slipknot,Solway Firth,We Are Not Your Kind,2019,6WCkyaVmut83CtBFEUhDo4,57
Judas Priest,No Surrender,Firepower,2018,1Fr7OlVZrc3mDvru8j2cFi,47
Electric Callboy,Hate/Love,MMXX - Hypa Hypa Edition,2021,0Xz2vsYZTAQEqQSn1123bz,53
Falling In Reverse,Carry On,Carry On,2020,3GSMJpuz3rFU8WtCws1rv5,54
The HU,Wolf Totem,The Gereg (Deluxe Edition),2020,7LSn5it9bQhJqyfEq1PM3l,55
Rob Zombie,Helter Skelter,Helter Skelter,2018,2ztuZjGZ7uHwQ3jTKZyQKm,54
Beast In Black,Moonlight Rendezvous,Dark Connection,2021,6P5Ma1HFYDsgOpLaGu6Jkz,51
Five Finger Death Punch,Sham Pain,And Justice for None (Deluxe),2018,0nqIqABZcujg05mkixJV60,55
Saurom,Amanecer,Música,2020,5HHvMVnt9Pg7RLanL0IaT3,34
Ghost,Faith,Prequelle,2018,4RmigACdwE02FV3yP5xXlP,49
Powerwolf,Venom of Venus,The Sacrament of Sin,2018,4cHC6wUiJ0XF1siHpWUSPv,52
Red Hot Chili Peppers,Tippa My Tongue,Return of the Dream Canteen,2022,7BCxIjRsqbc9Yiy2haBCIK,51
Shinedown,A Symptom Of Being Human,Planet Zero,2022,7xOB82ELg70RoIM3mMTkt4,63
Dynazty,Natural Born Killer,Final Advent,2022,5EjTbVLlyrbwUcekE45CQX,51
Architects,deep fake,the classic symptoms of a broken spirit,2022,7mfMTQ21RSVhUw778ymlyV,52
The Warning,EVOLVE,ERROR,2022,2uzluI26zEowYnMqhyr0BY,51
Bleed From Within,The End of All We Know,Fracture,2020,68ae1LwQdpHhYwPrz7rTdl,50
