artista,cancion,album,año,genero,spotify_id,popularidad
islandman,Anadolu,VAUS 2 - Random Colletive Records,2018,electronic,7ycECdNw14nleTOSS8nEaG,34
Flosstradamus,2 MUCH (feat. 24hrs),2 MUCH (feat. 24hrs),2018,electronic,5YRmvwA6P4fABxRhc61iH9,42
Acid Pauli,Jorge - Satori Remix,Bld Remixes B,2018,electronic,769LjA468VL4j2g4WI48Oe,34
Charlotte Adigéry,Paténipat,Paténipat,2018,electronic,0STU4tz5QWwA46G8QkvtK1,35
Martin Jensen,Somebody I'm Not - Cahill Edit,Somebody I'm Not,2018,electronic,29kQS8jVf08MEp6vFCF8Ot,30
Peter Cat Recording Co.,Love Demons,Portrait of a Time: 2010-2016,2018,electronic,3wgx6kB0t5yTPcB7UP3p9b,37
Justice,Genesis x Phantom (WWW),Woman Worldwide,2018,electronic,7GTZa1773faSYybRdGDIjk,37
CLUBZ,Templos,Destellos,2018,electronic,5BRBuj8WoTqSqCvIfEkzYx,39
Kerala Dust,Maria,Maria,2018,electronic,3e8hBpyRJ7zYm35JUjTCwJ,34
Rival Consoles,Fragment,Persona,2018,electronic,4G37OYV8HDnX01xdSyG2Ma,35
Zuma Dionys,As Time Goes By,Yuddhapot,2018,electronic,4e9UIKY0dESrEdVGlxeVRW,36
WhoMadeWho,Dynasty,Through the Walls,2018,electronic,1UglHGkDf43W58XZKdnqbE,32
George FitzGerald,Roll Back,All That Must Be,2018,electronic,0smkE9zt2Bg7fFk0HlzR4C,37
Rodrigo Gallardo,El Abuelo - Dandara Remix,El Abuelo,2018,electronic,49NKccHKnVnLSDa4J4yNTn,29
Paul Kalkbrenner,Part Three,Parts of Life,2018,electronic,4u6bp7tS5NnJOj16FNAsNi,31
islandman,Rest In Space,Rest in Space,2018,electronic,1VQnRQwgoO2HldXOAsIf2v,33
Maribou State,Part Time Glory,Kingdoms In Colour,2018,electronic,5O8jA5esx67O3FoqKwBjQV,38
Ekali,Stay Hollow (with mossy.),Crystal Eyes,2018,electronic,1u3SkEgGroT2Kcfnd4v4ON,41
Lucky Luke,Never Stop,Never Stop,2018,electronic,4Qah8zVDlmDsnmKuY9mC0Q,37
