Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Anvil,2440243,159820,"There is more than one artist using the name Anvil:

1)  Anvil is a Canadian heavy metal band who has influenced many musical groups including Slayer and Metallica. The band's history is chronicled in the 2009 documentary Anvil! The Story of Anvil.

2) Anvil is a1970s German heavy prog psych band.

--==--

1) - The roots of Anvil began in April 1973 in Toronto, when high school friends Steve ""Lips"" Kudlow and Robb Reiner began playing music together. <a href=""https://www.last.fm/music/Anvil"">Read more on Last.fm</a>","Metal Church, Tokyo Blade, Armored Saint, Exciter, Accept"
Iron Savior,3610368,142629,"Iron Savior is a German power metal band that was formed in Hamburg in 1996. Following a period of several years working behind the scenes in music production, multi-instrumentalist and producer/engineer Piet Sielck joined with former Helloween bandmate Kai Hansen and then-drummer for Blind Guardian, Thomen Stauch in a new project that would blend power metal with a high-concept science fiction story. The band's debut album Iron Savior introduced the story that would be told over the course of multiple albums <a href=""https://www.last.fm/music/Iron+Savior"">Read more on Last.fm</a>","Primal Fear, Gamma Ray, Grave Digger, Bloodbound, Firewind"
Psychonaut 4,3902311,84193,"Psychonaut 4 is a Georgian black metal band from Tbilisi, Georgia, formed in July 2010 by GRAF (vocals) and André (bass). The lyrics are written by GRAF and are about drugs, sex, drinking, depression, lies and suicide.
Psychonaut 4 started with a demo tape titled ""40%"", released by Depressive Illusions Records in 2011. In June 2012 the band released ""Tired, Numb, Still Alive"", a 3-way split album with Unjoy and Eurythmie, released by Der Neue Weg Productions. <a href=""https://www.last.fm/music/Psychonaut+4"">Read more on Last.fm</a>","Nocturnal Depression, Lifelover, Apati, Happy Days, My Useless Life"
Svartkonst,154165,16145,"Chainsaw Blackened Death Metal one-man band from Härnösand, Sweden, founded in 2012. <a href=""https://www.last.fm/music/Svartkonst"">Read more on Last.fm</a>","Sodomisery, Thron, Doedsvangr, Hovmod, Mephorash"
Murderdolls,7934758,336438,"Murderdolls were an American horror punk supergroup, founded during 2002 in Hollywood, California. The band line-up consists of core members Wednesday 13 and Joey Jordison of Slipknot. Former members include Ben Graves, Acey Slade, Eric Griffin and Tripp Eisen.

The band has released two albums, the first in the form of Beyond the Valley of the Murderdolls which was released in 2002. The band had limited initial success in the United States, though <a href=""https://www.last.fm/music/Murderdolls"">Read more on Last.fm</a>","Wednesday 13, Frankenstein Drag Queens from Planet 13, Blitzkid, Calabrese, Doyle"
Sarah and the Safe Word,1055856,51568,"Sarah and the Safe Word are a Rock Cabaret band from Atlanta, Georgia. <a href=""https://www.last.fm/music/Sarah+and+the+Safe+Word"">Read more on Last.fm</a>","Will Wood and the Tapeworms, Dirt Poor Robins, Kabaret Sybarit, Will Wood, A Verbal Equinox"
1000mods,1859380,87063,"1000mods is a psychedelic/stoner rock band from Chiliomodi, Greece. They were formed in the summer of 2006 and since then, they have played hundreds of live shows, including openings for Brant Bjork, Colour Haze, Karma to Burn, My Sleeping Karma, Radio Moscow and many others. Their commitment to vintage equipment, thick and heavy analog sound and their remarkably passionate on stage performance is what sets them apart.

In the beginning of 2007 they released their first (self-financed) EP “Blank Reality” on CD <a href=""https://www.last.fm/music/1000mods"">Read more on Last.fm</a>","Truckfighters, Greenleaf, Stoned Jesus, The Devil And The Almighty Blues, Dozer"
Breakdown of Sanity,6480439,98954,"Breakdown of Sanity was a melodic metalcore/deathcore band formed in Spring 2007 in Bern, Switzerland.

The band's name is intended to reflect the aggression of the music and the gloomy zeitgeist of today's society. Breakdown of Sanity is one of the DIY movement in the typical hardcore punk bands of the early years was. Breakdown of Sanity is a registered member of SUISA .
Breakdown of Sanity played their last concert in 2017 in their hometown Bern. <a href=""https://www.last.fm/music/Breakdown+of+Sanity"">Read more on Last.fm</a>","Feed Her to the Sharks, Buried in Verona, Miss May I, Caliban, August Burns Red"
Æther Realm,1914741,56182,"Melodic death metal with folk and viking themes from North Carolina.

Vincent Jones - Bass/Vocals
Tyler Gresh - Drums
Donny Burbage - Guitar
Heinrich Arnold - Guitar

Bandcamp, support the band! <a href=""https://www.last.fm/music/+noredirect/%C3%86ther+Realm"">Read more on Last.fm</a>","Nekrogoblikon, Wizardthrone, Whispered, Imperial Circus Dead Decadence, Wilderun"
Drakum,183957,18903,"Drakum is a folk metal band from Barcelona, Spain. The band started in December 2009, after a year looking for the right members.  In 2010 they were immersed in the songwriting and recording their first demo ""Around The Oak"". In 2011 they were promoting 'Around The Oak ""receiving rave reviews, and started the live activity, which has led them to cross their borders, playing festivals in various countries such as Slovenia, Croatia and Ukraine. In 2014 they released their first LP ""Torches Will Rise Again"". <a href=""https://www.last.fm/music/Drakum"">Read more on Last.fm</a>","Northland, Wolfchant, Vanir, Grimner, Heathen Foray"
