artista,cancion,album,año,spotify_id,popularidad
Ovy On The Drums,Inolvidable,Inolvidable,2020,0OTtnwUO8natNWSwdZvXVF,70
Aventura,Volví,Volví,2021,2vmfvSoZBFAt9hhRoEByLi,73
Rauw Alejandro,Desenfocao',VICE VERSA,2021,2CEf2gU5ZJamLXa3NrgAvA,75
Boza,Hecha Pa' Mi,Más Negro Que Rojo,2020,3VvA1wSxukMLsvXoXtlwWx,70
Morat,Salir Con Vida,SI AYER FUERA HOY,2022,0cubEBmB9wjsdBwXNFmzFy,70
Conan Gray,Heather,Kid Krow,2020,4xqrdfXkTW4T0RauPLv3WA,84
Ariana Grande,7 rings,"thank u, next",2019,6ocbgoVGwYJhOv1GgI9NsF,82
Mau y Ricky,Desconocidos,Para Aventuras y Curiosidades,2019,56f5qnyAlZdlz8wrUDA50h,74
The Ronettes,Sleigh Ride,Sleigh Ride,2020,7fUYUcWy853HS8YJn0b3Sr,77
Alec Benjamin,Let Me Down Slowly,Narrated For You,2018,2qxmye6gAegTMjLKEBoR3d,83
Imagine Dragons,Natural,Origins (Deluxe),2018,2FY7b99s15jUprqC0M5NCT,78
Glass Animals,Heat Waves,Dreamland,2020,3USxtqRwSYz57Ewm6wWRMp,84
Sabrina Carpenter,Nonsense,emails i can't send,2022,6dgUya35uo964z7GZXM07g,86
Regard,Ride It,Ride It,2019,2tnVG71enUj33Ic2nFN6kZ,79
Rauw Alejandro,Aquel Nap ZzZz,VICE VERSA,2021,5bQLsyTrUaMQRfr6whwGe5,72
Måneskin,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,2021,4pt5fDVTg5GhEvEtlz9dKk,80
Feid,Prohibidox,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022,3PpWCS95gDUDRPko3u1MZ9,72
Emilia,como si no importara,Tú crees en mí?,2022,7M0mBls29IohQIPGqegcyE,66
Rauw Alejandro,Fantasias,Fantasias,2019,6mAN61JH0dzyZpWslS11jy,70
Billie Eilish,everything i wanted,everything i wanted,2019,3ZCTVFBt2Brf31RLEnCkWJ,82
Olivia Rodrigo,good 4 u,SOUR,2021,4ZtFanR9U6ndgddUvNcjcG,81
Meghan Trainor,Made You Look,Takin' It Back,2022,0QHEIqNKsMoOY5urbzN48u,79
Post Malone,Circles,Hollywood's Bleeding,2019,21jGcNKet2qwijlDFuPiPb,83
Sean Paul,No Lie,Mad Love The Prequel,2018,48QmG1dfvMuYLxMPt7KSRA,80
Noah Kahan,Stick Season,Stick Season,2022,0mflMxspEfB0VbI1kyLiAv,86
Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,2Fxmhks0bxGSBdJ92vM42m,80
Sia,Santa's Coming for Us,Everyday Is Christmas (Deluxe Edition),2018,1N1ZpYUJc9fwrqk53FGgWv,81
The Weeknd,Call Out My Name,"My Dear Melancholy,",2018,09mEdoA6zrmBPgTEN5qXmN,82
SZA,Kill Bill,SOS,2022,1Qrg8KqiBpW07V7PNxwwwL,86
NATTI NATASHA,La Mejor Versión de Mi - Remix,La Mejor Versión de Mi (Remix),2019,2dy3TKVDEbIeWxeIb8JWqZ,69
Marshmello,Happier,Happier,2018,7BqHUALzNBTanL6OvsqmC1,81
Kelly Clarkson,"Santa, Can’t You Hear Me",When Christmas Comes Around...,2021,2O3MQ6H3gjrIWDcpeTrikT,83
Romeo Santos,Solo Conmigo,"Fórmula, Vol. 3",2022,22iCMlT0xYryKNnz4X5Vwn,68
Cigarettes After Sex,Cry,Cry,2019,3p4hRhMcb6ch8OLtATMaLw,85
Tate McRae,you broke me first,TOO YOUNG TO BE SAD,2021,4l0RmWt52FxpVxMNni6i63,82
Imagine Dragons,Bad Liar,Origins (Deluxe),2018,2RSHsoi04658QL5xgQVov3,78
SYML,Where's My Love,SYML,2019,1B62o4CbdL9ckGvwsz2cgn,79
Olivia Rodrigo,deja vu,SOUR,2021,6HU7h9RYOaPRFeh0R3UeAr,82
Camila Cabello,Havana (feat. Young Thug),Camila,2018,1rfofaqEpACxVEHIZBJe6W,80
Taylor Swift,cardigan,folklore,2020,4R2kfaDFhslZEMJqAFNpdd,82
Ed Sheeran,Bad Habits,=,2021,3rmo8F54jFF8OgYsqTxm5d,78
